info@andernacher-tennisclub.de ;Andernacher Tennisclub 1926 e.v.
Vorstand@tennisverein-armsheim.de;Tennisverein Armsheim
alexspecht@nexgo.de;SV Arzbach Tennis
 htc-bad-neuenahr@t-online.de;HTC Bad Neuenahr 1920 e.v.
HSturm@t-online.de;Tennis Club Blau-Weiss Bad Ems e.v.ennis
RDKSchneider@hotmail.com;TC RW Boppard
Hans.Dreis@t-online.de;TC Brohl-Lützing e. V. 
info@tc-burgbrohl.de;TC Burgbrohl 
schmittheinz@web.de;Tennisverein Damflos e.v.
Tennis_dernau@hotmail.com;SV Dernau 1922 e.v.
a.lera@web.de;TennisClub Diez
info@tceitelborn.de;TC Eitelborn 1980 e.v.
tennisverein@hagenbach.de;TV Hagenbach
rainer.nerding@gmx.de;TC Modenbach-Hainfeld
laux.e@speyer.lsv.de;TV Hanhofen 1991 e.v.
vorsitzender@tc-heimbach-weis.de;TC Heimbach-Weis
info@tc-heuchelheim.de;TC Heuchelheim
kh.zacher@t-online.de;Tennisclub Ober-Hilbersheim e.V.
Ingo.wilhelmi@freenet.de;"Tennis Club ""Grün-Weiß"" e.V"
w.mewes@sfw.de;TC VIKTORIA ST.INGBERT e.V. 
Tc-boehringer@t-online.de;Tennisclub Boehringer Ingelheim e.v.
TC77JOCKGRIM@EPOST.DE;TC 77-Jockgrim
w.blum.ju@t-online.de;Tennisclub Jünkerath e. V.
info@tcc-kl.de;Tennisclub Caesarpark e.V. Kaiserslautern
Hanspeter.glaser@service.volksfuersorge.de;Tennisclub Kirrweiler
edi-bsm@t-online.de;VfL 1848 Bad Kreuznach e.V.
info@tc-oberwerth-koblenz.de;TC Oberwerth
tsv@tsv-kuhardt.de;TSV Kuhardt
kunz-werner@t-online.de;Leimersheimer Tennisclub
kontakt@posttennis-lu.de;TA Post SV Ludwigshafen
tc-oppau@t-online.de;Tennis-Club Ludwigshafen-Oppau 
tennis@tsc-mainz.de;TSC Mainz
webmaster@tg-mettendorf.de;Tennis-Gemeinschaft Mettendorf 1991 e.V.
k.dries@web.de;TC Minfeld
info@tcmittelwald.de;TC Mittelwald
info@tcmutterstadt.de;Tennisclub Mutterstadt e.V.
info@tcmuenstermaifeld.de;TC Münstermaifeld
schwarz-nassau@t-online.de;TV Nassau e.V.
hhnoll@t-online.de;TC-Neuwied
uk73@gmx.de;TC Osthofen
bgbehr@t-online.de;TC Roscheid
klagholz@t-online.de;TC Selters e. V. 
tcunkel@web.de;TC Unkel
info@svurmitz.de ;TC Urmitz
info@tc.weiler.de;TC Weiler
tc-rot-weiss-worms@web.de;TC Rot-Weiss Worms  e.V.
Karlhans.Born@t-online.de;Interessengem. Tenniskreis Rhein-Lahn e.V.
dbm.buschbeck@t-online.de;TC Wiehltal e.V.
tcbrand@planet-intercom.de;TC Aachen-Brand
R.G.Eich@t-online.de;ESV Aachen
n.kremer@fh-aachen.de;DJK FV Haaren-TA
TC-Verlautenheide@web.de;TC Verlautenheide 1981 e.V.
INFO@ALTC.DE;Laurensberger TC
tc-gruen-weiss-aachen@t-online.de;TC Grün-Weiss Aachen
infon@tennis-club-aachen-soers.de;TC Aachen Soers
kontakt@blau-weiss-aachen.de;TK Blau-Weiss Aachen
legsding@lycos.de;TK Kurhaus Aachen
paul.rueth@t-online.de;TC Breinig
tc.eilendorf@gmx.de;TC 1950 Eilendorf
Robert.Gerick@t-online.de;TC Lichtenbusch e.V.
J.Voss-Aachen@t-online.de;DJK Sportgemeinschaft Nütheim-Schleckheim
tennis@hertha-walheim.de;TC Hertha Walheim
tcamhardtbach@t-online.de;TC Am Hardtbach
tomnelles@t-online.de;TC Alsdorf Rot-Weiss 1919 e.V.
Rolf.Krupa@t-online.de;TC Rot-Weiss Bad Honnef
TC-RG-BadMuenstereifel@-online.de;TC Rot-Gold Bad Münstereifel
info@baesweiler-tennisclub.de;Baesweiler TC
ingp.lueck@wdr.de;SC Fliesteden
Hajowa@aol.com;BSG-RWE BV Fortuna
info@tc80-bergheim.de;TC Bergheim 80
webmaster@tcgw-bergheim.de;Bergheimer TC Grün-Weiss
info@tennisfreunde75.de;TF Grün-Weiß Bergisch Gladbach 75
sv@blau-weiss-hand.de;SV Blau-Weiss Hand e.V.
info@svr-tennis.de;SV Refrath/ Frankenforst
info@gruen-gold-bensberg.de;TC Grün-Gold Bensberg
manfred.buescher@t-online.de;TV Refrath
thc-rot-weiss@t-online.de;THC Rot-Weiss Bergisch-Gladbach
hubert.l.meier@t-online.de;TV Herkenrath
esv.blau-rot.bonn@t-online.de;ESV Blau-Rot Bonn
webmaster@tc-Kreuzberg.a;TC Grün-Weiß Am Kreuzberg
vorsitzender@htc-bonn.de;HTC Schwarz-Weiss Bonn
ITC.Bonn@web.de;ITC Bonn-Bad Godesberg
SchmitzWJ@aol.com;TC Röttgen
k.solda@t-online.de;TuS Pützchen
alberternst.bsz@bundestag.de;SG Deutscher Bundestag, Abteilung Tennis
info@tv-gw-dransdorf;TV Grün-Weiß Dransdorf
hotel-beethoven@t-online.de;TC Grün-Gelb Lannesdorf e.V.
bonnerthv@t-online.de;Bonner THV
HHupperich@t-online.de;TV Geislar
info@tc-roisdorf.de;TC Bornheim-Roisdorf
info@tcbb.de;TC Brühl Badorf
TC-Bayer-Dormagen@t-online.de;TC Bayer Dormagen
NKosiahn@Visteon.com;TC Ford Düren
mueller-home@t-online.de;SC Teutonia Echtz
Hubert.C.Gerlach@t-online.de;TC Arnoldsweiler
rolf-peter lünsmann@t-online.de;TC Merken 81
tg-rot-weiss-dueren@t-online.de;TG Rot-Weiss Düren
hpuetz@eplus-online.de;SC Alemannia Lendersdorf
Dieter.Kelmes@t-online.de;TC Grün-Weiß Mariaweiler
tennis@btv1864.de;Birkesdorfer TV
Dieter.Kaps@Noyco.de;TC Derichsweiler
Manfred-Schall@t-online.de;FC 08 Düren-Niederau
kh.och@t-online.de;ASG Elsdorf
bergfelder@t-online.de;ASC Loope
geschäftsführer@tennis-blessem.de;VfB Blessem e.V.
areker@t-online.de;TC Rot-Weiß Bliesheim
